country_code,found_country,longitude,address,latitude,country_name,alt_addr,continent,used,timestamp,no_result
NONE,True,-116.9237432,72 B.C.,32.4920402,,,,0,,
NONE,True,-70.6589498,62 B.C.,41.9485307,,,,0,,
IL,True,34.8594762,"Abt 550 B.C. in, Israel",30.8124247,Israel,,Asia,0,,
NONE,True,80.2849662,"In, Babylon",13.1000656,,,,0,,
NO,True,8.7876653,", , , Norway",61.1529386,Norway,,Europe,0,,
IE,True,-7.9794599,", , , Ireland",52.865196,Ireland,,Europe,0,,
NONE,True,-60.9553503,"Abt 2152, , B.C.",-16.3823043,,,,0,,
NONE,True,-60.9553503,"Abt 2944, , B.C.",-16.3823043,,,,0,,
NONE,True,-60.9553503,"Abt 3675, , B.C.",-16.3823043,,,,0,,
NONE,True,-60.9553503,"Abt 3765, , B.C.",-16.3823043,,,,0,,
NONE,True,-123.4995258,"2978, , B.C.",48.4376071,,,,0,,
,True,,ancestor of the Shi'ite Imams,,,,,0,1767561190.649597,True
SA,True,39.826869,Mecca,21.420847,Saudi Arabia,,Asia,0,,
US,True,-99.1126826,Medina,29.2836281,United States,,North America,0,,
,True,,Islam's 1st convert,,,,,0,1767561193.745525,True
ID,True,120.4792966,Muharram,-6.2979165,Indonesia,,Asia,0,,
,True,,Divorced,,,,,0,1767561195.5250065,True
,True,,"Abt 4000 B.C., Garden of Eden, Mortal Creation",,,,,0,1767561241.3341427,True
,True,,1175 BC,,,,,0,1767561282.0787199,True
CA,True,-125.890918,concubine,51.9466393,Canada,,North America,0,,
JP,True,131.3076492,Takachiho,32.711731,Japan,,Asia,0,,
FR,True,4.0613844,"Asgard, Asia Or, East Europe",49.2519464,France,,Europe,0,,
,True,,Of the Alid Dynasty,,,,,0,1767561350.1805012,True
,True,,4th Caliph of Islam,,,,,0,1767561351.3396268,True
,True,,Around whom the Sunni/Shi'ite controversy began.,,,,,0,1767561352.270901,True
,True,,Islam's 2nd convert,,,,,0,1767561353.3942907,True
IQ,True,44.0157931,Kerbela,32.5984057,Iraq,,Asia,0,,
,True,,established the Umayyad Dynasty in Spain.,,,,,0,1767561355.404761,True
SY,True,36.2765805,Umayyad,33.5137958,Syria,,Asia,0,,
US,True,-87.4529316,"Idrisid Dynasty in the Maghreb, in Morocco",40.9463651,United States,,North America,0,,
FR,True,1.3455221,"RAZES, FRANCE",46.0336176,France,,Europe,0,,
,True,,RHEDAE,,,,,0,1767561360.1097434,True
FR,True,1.8883335,"CARCASSONNE OR PERPIGNAN, FRANCE",46.603354,France,,Europe,0,,
FR,True,2.3491069,"CARCASSONNE, FRANCE",43.2130358,France,,Europe,0,,
ES,True,1.9863688,"LLIVIA CASTLE, CERDANYA, SPAIN",42.4676542,Spain,,Europe,0,,
ES,True,2.159665,NORTH AFRICA,41.362599,Spain,,Europe,0,,
,True,,"DAMASCUS, SYRIA (IN PRISON)",,,,,0,1767561369.0595777,True
SY,True,36.3095814,"DAMASCUS, SYRIA",33.5130695,Syria,,Asia,0,,
FR,True,-0.1839979,"AQUITAINE, FRANCE",44.2462064,France,,Europe,0,,
IQ,True,44.4031125,Kufa,32.03444,Iraq,,Asia,0,,
